FIPS,# of Food Insecure Persons Overall (1 Year)
31001,3520
31003,650
31005,60
31007,50
31009,50
31011,440
31013,1230
31015,200
31017,280
31019,5110
31021,760
31023,760
31025,2260
31027,680
31029,310
31031,620
31033,1140
31035,580
31037,850
31039,700
31041,1240
31043,2070
31045,850
31047,2310
31049,180
31051,530
31053,3990
31055,59440
31057,190
31059,500
31061,390
31063,300
31065,480
31067,2730
31069,200
31071,190
31073,150
31075,90
31077,260
31079,6850
31081,690
31083,350
31085,110
31087,340
31089,900
31091,90
31093,620
31095,850
31097,510
31099,650
31101,990
31103,70
31105,430
31107,860
31109,33580
31111,3750
31113,90
31115,70
31117,40
31119,3870
31121,920
31123,470
31125,370
31127,850
31129,400
31131,1760
31133,350
31135,240
31137,970
31139,680
31141,2830
31143,470
31145,1120
31147,900
31149,120
31151,1320
31153,14750
31155,1880
31157,4180
31159,1550
31161,750
31163,330
31165,120
31167,500
31169,510
31171,70
31173,1130
31175,390
31177,1860
31179,850
31181,330
31183,80
31185,1290
32001,2840
32003,333140
32005,5150
32007,5050
32009,140
32011,230
32013,1750
32015,510
32017,500
32019,6620
32021,620
32023,7400
32027,600
32029,440
32031,51800
32033,960
32510,6780
33001,5760
33003,4770
33005,7010
33007,3850
33009,8570
33011,35310
33013,11970
33015,21090
33017,11430
33019,4080
34001,39960
34003,73880
34005,31810
34007,54990
34009,11560
34011,18190
34013,98170
34015,23800
34017,82200
34019,6880
34021,30490
34023,68900
34025,48120
34027,31610
34029,58910
34031,60520
34033,7370
34035,18880
34037,10680
34039,46060
34041,9400
35001,86030
35003,680
35005,8890
35006,4870
35007,1940
35009,6730
35011,210
35013,31960
35015,6940
35017,4780
35019,520
35021,50
35023,590
35025,9020
35027,2660
35028,1130
35029,4860
35031,16240
35033,710
35035,10340
35037,1270
35039,5320
35041,2950
35043,15950
35045,21410
35047,4550
35049,16940
35051,2060
35053,3130
35055,4850
35057,2530
35059,630
35061,9660
36001,31690
36003,5970
36005,281040
36007,26490
36009,10710
36011,8770
36013,17860
36015,10960
36017,5630
36019,9600
36021,5740
36023,5460
36025,5640
36027,25540
36029,110390
36031,3960
36033,6760
